payload_kg,distance_km,battery_pct,wind_speed_mps,rain_mm,time_of_day,num_stops,success
0.53,8.81,50.3,2.1,1.15,night,2,1
1.06,5.61,79.8,10.06,0.72,afternoon,1,1
0.32,11.21,57.4,3.54,4.56,afternoon,2,1
1.69,7.01,38.5,6.58,3.34,morning,2,0
2.0,18.66,33.2,0.25,2.19,morning,2,0
1.43,18.46,13.4,2.27,2.87,afternoon,1,0
4.16,10.1,62.5,1.38,3.73,evening,2,0
1.85,6.62,30.7,3.6,3.87,morning,1,0
1.48,14.77,23.3,1.5,4.6,evening,2,0
2.76,0.83,68.8,10.38,2.13,morning,1,1
0.79,9.55,71.3,0.44,1.47,afternoon,1,1
4.03,6.79,77.7,9.27,3.2,night,1,1
0.47,18.42,55.3,2.11,2.08,night,2,0
4.94,0.34,90.5,14.18,2.97,afternoon,3,1
3.88,11.1,94.3,14.0,2.1,morning,1,1
1.07,14.84,82.7,3.38,0.76,morning,1,1
0.13,9.75,67.2,9.22,2.35,night,1,1
4.1,1.8,37.3,0.42,3.45,morning,2,0
3.56,19.45,98.5,13.98,4.0,night,1,0
3.67,10.41,34.7,7.84,2.47,afternoon,1,0
3.88,12.32,28.2,0.65,0.83,night,2,0
0.46,4.81,49.8,5.14,2.07,afternoon,1,1
1.86,9.72,15.1,1.15,3.93,afternoon,1,0
0.67,8.64,98.1,5.89,2.06,evening,1,1
4.33,1.59,63.0,10.05,3.48,night,2,0
3.15,2.21,60.1,7.05,2.54,night,3,1
1.72,16.77,69.0,5.76,1.21,evening,2,0
0.41,4.87,54.7,1.79,3.98,evening,1,1
1.62,3.98,12.9,3.67,0.42,evening,2,0
1.69,10.15,65.1,1.5,2.62,evening,1,0
3.68,15.4,74.5,12.11,1.04,night,2,0
3.22,1.33,47.5,2.03,0.34,afternoon,2,1
4.45,11.58,78.2,8.93,2.51,evening,3,0
2.41,2.47,30.4,5.14,2.5,afternoon,1,0
0.69,0.83,29.9,3.39,3.53,evening,2,1
3.59,1.15,24.5,9.59,3.72,night,2,0
3.83,16.7,43.5,6.86,3.64,afternoon,1,0
2.85,2.45,86.2,6.0,2.05,morning,2,1
3.88,1.0,84.5,8.89,3.16,afternoon,3,1
2.52,8.81,44.5,7.37,2.88,morning,3,0
2.66,16.9,63.0,4.55,2.11,afternoon,2,0
2.19,5.32,74.9,8.39,2.99,night,1,1
0.22,8.49,31.7,10.04,4.74,evening,3,0
0.63,0.89,25.1,0.4,0.96,night,2,1
0.25,9.04,97.5,6.99,4.53,morning,1,1
3.22,11.59,65.6,0.87,0.27,night,1,1
1.64,11.46,98.3,2.8,1.54,evening,1,1
2.59,6.72,40.4,8.41,1.44,morning,1,0
4.55,6.38,73.3,12.99,3.13,evening,2,0
1.32,2.22,30.0,13.24,0.66,night,1,0
2.11,7.4,33.5,1.05,4.41,morning,1,0
3.8,2.08,56.1,6.29,4.14,evening,1,0
1.22,15.36,38.8,8.75,3.26,night,1,0
0.48,19.33,25.1,2.21,2.29,morning,1,0
1.52,19.4,33.7,11.48,4.66,evening,1,0
0.89,17.31,13.2,11.16,4.15,afternoon,1,0
4.66,12.06,73.4,13.55,2.5,afternoon,2,0
4.06,14.05,54.3,0.13,3.51,evening,1,0
3.2,5.78,18.5,3.25,2.83,morning,2,0
4.37,12.65,25.5,12.41,2.94,evening,1,0
4.04,9.17,19.2,10.06,1.65,morning,1,0
1.01,9.69,65.1,13.42,2.31,afternoon,1,0
4.47,15.18,18.5,0.86,0.39,afternoon,1,0
2.74,5.71,77.9,8.95,1.79,afternoon,1,1
4.06,6.43,11.8,8.54,3.48,afternoon,1,0
4.49,18.5,32.4,0.54,4.77,night,1,0
1.66,1.22,90.2,7.7,4.82,night,2,1
0.64,9.76,74.7,9.14,2.78,night,1,1
1.22,18.26,16.6,2.87,3.03,afternoon,3,0
2.19,12.25,83.9,4.1,0.93,night,2,1
4.11,10.97,54.4,9.61,3.48,night,2,0
4.32,5.07,86.2,7.02,0.35,afternoon,1,1
0.13,6.93,64.1,12.87,1.42,morning,2,1
2.6,17.06,71.4,5.14,3.34,morning,1,0
2.15,11.23,99.4,4.0,1.55,afternoon,1,1
1.19,10.34,30.9,14.77,0.25,night,1,0
0.69,2.08,66.2,13.67,4.16,evening,3,1
1.75,0.42,51.4,0.43,1.55,evening,1,1
4.72,19.28,13.6,11.56,0.32,morning,3,0
1.68,7.6,11.3,1.66,0.37,morning,1,0
2.64,12.1,20.7,0.41,1.26,afternoon,3,0
3.54,1.69,68.4,4.11,0.89,night,3,1
1.88,13.69,61.0,4.04,3.87,afternoon,3,0
4.86,18.66,59.8,12.29,1.61,night,1,0
4.82,11.56,12.9,10.66,4.02,morning,3,0
1.33,2.61,52.2,14.72,0.87,evening,3,0
2.54,11.68,93.2,10.67,2.46,evening,1,1
1.57,15.35,45.8,6.27,3.44,night,1,0
1.5,8.19,66.2,10.48,3.26,morning,2,1
0.28,17.61,80.2,14.99,3.01,morning,1,0
3.09,13.01,80.6,10.65,4.62,morning,2,0
2.56,18.0,56.7,11.43,1.14,night,1,0
0.35,12.51,87.2,14.08,2.47,morning,2,1
1.47,2.71,45.2,1.7,4.42,morning,1,0
4.55,6.26,90.0,10.57,0.39,afternoon,1,1
1.27,4.12,31.6,12.76,0.28,afternoon,1,0
0.81,18.19,35.2,14.32,1.17,night,2,0
2.5,15.23,14.8,3.16,3.17,night,1,0
4.93,13.56,81.6,7.56,1.3,afternoon,2,0
1.29,6.09,47.5,10.21,0.95,night,2,1
3.39,3.76,30.6,3.71,2.29,evening,1,0
3.83,15.15,30.9,9.01,3.07,morning,1,0
1.26,9.54,91.1,3.86,1.24,night,1,1
3.67,4.59,85.1,5.0,1.5,evening,1,1
1.9,12.37,59.8,6.62,3.07,afternoon,1,0
3.2,0.9,65.4,7.94,4.73,evening,2,1
3.2,6.59,52.7,6.74,3.37,afternoon,3,0
2.73,9.42,45.2,7.4,3.91,morning,1,0
0.54,3.04,92.4,4.48,1.83,evening,2,1
4.19,19.69,21.3,2.38,1.36,night,3,0
1.67,4.26,47.7,0.71,2.27,evening,3,1
1.01,2.69,41.0,2.94,4.04,morning,3,1
0.3,4.15,54.8,8.73,2.28,night,2,1
3.0,15.4,51.2,11.79,4.23,morning,1,0
3.42,8.57,56.7,2.54,4.94,afternoon,3,0
0.18,11.35,22.6,1.63,0.36,morning,3,0
2.61,0.52,56.2,11.24,0.23,morning,1,1
1.21,0.79,31.8,4.58,0.75,afternoon,1,1
3.26,8.97,26.6,14.27,1.92,evening,1,0
0.95,16.35,15.8,10.71,0.66,night,1,0
3.49,17.72,78.6,4.9,4.35,night,1,0
2.0,1.83,48.5,4.34,0.12,night,2,0
4.69,10.81,66.4,7.86,1.58,afternoon,2,0
0.77,18.27,75.5,1.19,0.92,evening,1,1
1.77,7.82,71.1,1.77,4.66,night,1,1
0.66,16.61,52.3,2.64,3.35,afternoon,2,0
4.63,2.76,44.9,11.62,4.56,evening,1,0
4.4,18.71,43.8,7.71,4.86,afternoon,1,0
1.36,15.05,67.6,0.16,2.49,afternoon,2,1
3.33,18.83,54.5,10.1,1.17,afternoon,1,0
4.1,13.56,86.4,6.36,0.97,evening,1,1
2.82,7.33,88.7,7.66,1.11,evening,1,1
2.7,18.77,25.4,3.21,3.54,afternoon,2,0
1.29,5.58,22.3,8.28,0.2,evening,2,0
0.56,6.71,66.7,14.69,0.26,night,1,1
4.5,14.05,37.1,1.1,3.04,night,1,0
4.51,15.33,11.7,4.26,3.21,morning,2,0
3.2,18.6,90.0,3.64,3.33,morning,3,0
1.76,4.18,30.4,3.73,1.86,evening,2,0
1.81,15.98,93.6,5.68,4.03,afternoon,2,1
3.66,14.8,74.6,12.27,2.67,morning,2,0
4.5,1.37,78.6,13.69,0.53,afternoon,2,1
4.45,7.81,28.1,3.03,3.99,night,3,0
3.92,5.73,31.1,8.14,4.77,evening,2,0
3.25,6.16,56.9,9.55,0.3,afternoon,3,0
0.51,19.66,25.5,7.83,1.96,afternoon,1,0
0.89,12.89,37.5,6.51,2.44,evening,3,0
4.5,14.38,38.9,2.88,0.73,morning,2,0
3.07,19.53,24.4,7.32,4.34,afternoon,3,0
0.15,7.61,28.5,6.02,1.42,morning,1,0
0.6,16.06,81.0,11.93,3.92,afternoon,2,1
3.35,8.75,25.0,11.45,3.35,afternoon,2,0
0.12,17.4,12.6,2.01,2.99,evening,1,0
0.89,3.7,66.6,1.33,0.96,evening,2,1
2.79,18.96,97.8,13.62,1.1,afternoon,2,1
3.49,4.45,39.8,8.03,0.24,morning,1,0
3.29,6.59,20.7,12.87,1.2,morning,1,0
1.2,15.15,61.3,0.87,1.73,evening,2,0
3.59,7.94,91.6,7.9,4.17,morning,2,1
1.26,12.2,80.6,8.09,1.83,morning,1,1
1.69,8.95,66.0,12.91,3.77,evening,1,0
3.76,14.87,38.4,1.46,2.2,evening,1,0
3.28,4.64,58.8,3.61,3.92,afternoon,1,1
4.26,1.26,18.2,6.1,4.88,afternoon,1,0
3.32,6.07,71.1,12.99,1.2,night,2,0
2.88,9.54,75.3,14.08,4.31,night,2,0
0.56,3.44,96.9,14.89,3.11,afternoon,2,1
1.9,7.16,33.4,14.39,4.09,night,1,0
1.4,8.06,11.7,0.09,3.26,evening,1,0
1.3,1.24,59.1,0.72,2.12,night,1,1
4.87,11.71,73.6,2.21,1.14,afternoon,2,0
2.03,17.7,81.1,5.23,0.35,evening,2,0
4.47,3.12,27.4,12.45,2.68,evening,3,0
3.19,12.0,33.6,13.39,4.95,afternoon,1,0
3.99,13.33,56.1,2.8,3.69,evening,2,0
2.56,8.44,39.8,9.29,1.64,morning,2,0
2.93,14.05,87.4,13.76,4.14,morning,2,0
2.51,8.27,52.6,6.96,3.84,afternoon,2,0
1.06,10.14,82.0,1.55,1.41,night,2,1
3.64,0.25,62.3,6.87,0.07,afternoon,1,1
1.48,13.87,79.6,5.64,0.59,evening,2,1
0.22,13.26,39.9,8.66,4.39,evening,1,0
3.26,0.86,84.8,6.58,4.18,morning,1,1
0.97,7.43,34.7,0.26,1.48,afternoon,1,0
4.71,19.58,59.1,14.91,1.43,evening,3,0
4.77,8.47,29.3,8.15,3.96,night,1,0
4.58,10.09,52.8,7.1,4.69,morning,3,0
1.91,18.21,38.6,14.32,3.9,afternoon,3,0
0.18,14.37,34.0,2.34,3.03,morning,3,0
4.65,11.68,97.0,2.84,1.21,morning,3,1
2.2,15.98,24.4,12.12,2.63,afternoon,3,0
4.84,17.3,80.9,3.91,1.17,afternoon,1,0
4.82,9.19,98.6,11.99,4.04,morning,1,1
4.28,9.55,11.8,4.07,1.93,morning,2,0
1.54,7.78,72.9,0.5,4.17,evening,1,1
1.99,19.34,32.8,7.76,1.91,night,1,0
4.27,13.97,13.6,2.95,4.12,afternoon,2,0
1.65,1.76,46.3,11.37,1.67,evening,2,0
0.93,17.27,94.2,9.62,2.2,morning,3,1
2.83,9.66,11.1,13.85,3.08,night,2,0
4.69,1.47,62.9,11.74,0.35,evening,2,0
3.51,11.04,55.1,2.71,4.74,night,1,0
2.89,8.4,88.6,12.0,2.87,morning,1,1
0.58,17.57,17.6,9.63,2.54,evening,3,0
3.11,4.16,71.3,10.03,4.2,afternoon,1,1
4.95,16.55,71.2,12.48,4.33,morning,1,0
0.79,11.2,70.2,8.61,2.61,morning,2,1
2.64,1.19,94.8,6.99,4.64,evening,1,1
4.4,19.44,84.1,9.55,0.32,evening,1,0
3.73,10.3,13.8,4.47,0.57,morning,1,0
3.52,5.89,52.4,2.74,2.98,evening,1,0
3.54,9.44,45.8,9.25,1.77,morning,1,0
1.86,17.17,37.9,3.51,2.32,morning,3,0
1.54,6.17,50.6,1.2,1.64,evening,2,1
4.07,3.93,44.6,0.01,2.02,afternoon,1,0
4.07,2.67,48.9,9.12,4.11,afternoon,1,0
4.35,6.03,98.1,5.43,2.97,afternoon,1,1
4.57,15.62,18.0,11.28,4.99,evening,3,0
2.61,9.49,93.0,5.63,3.93,afternoon,1,1
2.56,4.63,53.2,7.29,1.37,night,3,0
4.01,3.41,66.1,6.11,1.32,afternoon,1,1
3.28,6.72,84.7,9.76,1.68,evening,2,1
3.54,18.8,42.4,5.34,4.22,morning,1,0
4.0,6.93,48.7,14.46,0.14,afternoon,1,0
4.46,19.76,46.9,14.04,1.15,evening,1,0
1.76,9.76,43.7,12.72,4.52,afternoon,2,0
1.94,3.67,93.3,13.8,3.2,afternoon,1,1
0.56,17.83,84.6,6.74,1.13,morning,1,1
2.93,9.26,19.8,8.05,1.1,morning,2,0
0.28,14.22,19.7,11.13,4.31,morning,1,0
2.38,19.68,48.5,10.44,4.47,evening,1,0
2.76,1.1,18.9,13.36,1.28,evening,2,0
1.5,2.02,65.7,10.74,2.1,morning,1,0
3.0,14.44,22.9,14.97,4.17,afternoon,2,0
0.25,5.71,57.0,5.23,3.86,morning,1,1
0.28,3.77,10.6,12.49,4.07,morning,1,0
4.13,0.88,38.5,10.46,2.59,evening,1,0
1.86,0.53,70.9,10.37,4.56,evening,3,1
0.72,15.51,53.6,4.89,1.63,morning,3,0
2.66,2.78,98.0,11.78,0.78,morning,3,1
3.87,9.41,88.7,13.51,3.54,night,1,1
1.16,12.16,42.3,3.28,2.7,morning,2,0
3.15,8.62,14.1,9.38,4.27,afternoon,1,0
0.52,0.64,86.1,5.88,0.41,evening,1,1
0.35,15.69,92.0,14.84,4.22,evening,2,1
2.7,0.31,83.9,7.18,1.47,afternoon,1,1
2.75,15.26,21.5,3.42,3.27,night,1,0
3.22,17.88,99.8,5.73,0.2,morning,1,1
3.66,8.71,33.3,9.81,3.05,evening,2,0
4.88,10.76,75.2,1.14,3.59,morning,1,0
2.63,9.59,91.7,9.05,1.84,evening,1,1
1.68,7.85,31.2,13.97,1.08,night,3,0
4.0,17.76,91.7,12.76,2.69,afternoon,1,0
1.43,17.89,37.9,1.02,4.17,evening,1,0
2.25,6.78,97.9,14.9,1.62,night,2,1
0.48,12.34,35.3,10.48,1.26,morning,2,0
0.22,18.55,95.8,2.43,1.39,evening,1,1
4.82,19.24,14.8,0.19,4.75,night,2,0
4.2,10.23,73.8,2.57,1.8,evening,1,1
3.51,9.11,57.9,12.57,0.02,morning,2,0
2.1,5.65,53.0,0.32,3.91,morning,1,1
0.95,19.18,30.1,3.5,3.5,morning,1,0
0.87,2.94,73.5,11.36,0.64,morning,1,1
1.33,11.64,27.2,8.79,4.92,afternoon,3,0
2.79,5.72,59.8,11.74,3.04,morning,2,0
3.6,5.65,32.8,11.19,2.5,morning,3,0
3.33,8.16,96.0,0.76,1.91,afternoon,2,1
1.47,19.98,12.6,13.39,4.49,afternoon,1,0
4.78,1.19,28.0,3.41,1.22,evening,1,0
3.72,11.61,31.8,8.3,1.43,evening,3,0
2.82,1.74,47.3,9.66,0.61,morning,2,0
3.1,3.17,30.9,2.53,3.8,morning,3,0
2.16,8.85,54.2,14.64,2.98,morning,1,0
1.31,10.26,88.5,7.32,3.05,afternoon,1,1
1.84,5.25,74.1,0.86,1.09,morning,1,1
3.81,6.4,62.2,14.06,3.26,evening,1,0
0.17,1.83,18.0,8.79,3.83,morning,1,0
0.67,6.13,72.5,10.49,1.79,night,1,1
0.33,19.33,25.0,7.88,4.01,afternoon,2,0
0.3,18.9,80.8,12.52,1.74,afternoon,1,1
4.29,6.76,32.5,0.5,3.79,evening,1,0
3.55,11.46,47.5,4.03,0.17,evening,2,0
2.42,18.2,41.5,7.04,2.76,evening,1,0
0.58,0.22,87.3,1.15,4.85,night,2,1
2.51,16.23,21.4,10.59,4.91,afternoon,1,0
2.42,18.97,60.9,5.9,1.41,night,3,0
0.95,1.92,22.8,4.09,2.21,afternoon,2,0
2.23,3.31,73.4,0.05,0.31,night,3,1
2.05,19.22,91.5,10.8,4.37,morning,2,1
3.12,10.8,49.1,12.51,2.84,morning,1,0
3.21,0.38,53.9,5.93,1.93,evening,1,0
0.32,5.23,93.5,8.46,0.56,morning,2,1
1.94,9.05,56.9,3.42,4.73,morning,2,0
3.17,13.89,53.9,9.33,2.65,afternoon,2,0
2.57,14.69,62.0,0.18,1.41,evening,1,0
4.3,19.91,72.0,7.33,1.75,night,2,0
3.33,5.82,19.6,9.66,1.35,evening,2,0
0.9,10.81,83.9,13.77,3.01,night,2,0
0.45,10.71,49.2,5.72,4.65,afternoon,1,0
3.25,8.17,16.5,11.48,4.28,morning,3,0
0.23,3.47,80.8,8.97,2.3,morning,1,1
2.97,19.55,43.9,13.91,4.13,evening,1,0
4.71,17.08,19.0,5.98,2.12,afternoon,2,0
2.92,10.02,67.0,4.79,1.26,morning,1,1
2.0,12.1,89.2,13.31,4.92,afternoon,2,1
3.25,4.62,89.9,0.74,1.52,evening,1,1
2.35,10.92,96.2,2.05,1.62,afternoon,1,1
2.77,13.93,88.1,1.24,4.95,night,1,1
4.71,10.35,10.2,12.65,0.67,evening,1,0
1.99,19.81,44.2,0.16,3.8,evening,1,0
4.81,12.27,83.7,12.92,4.68,night,1,0
4.54,7.48,43.0,6.77,2.56,morning,2,0
1.06,15.47,64.1,0.06,0.01,evening,2,1
0.44,3.49,64.6,6.02,1.88,night,2,1
0.59,7.75,42.9,2.8,0.56,evening,2,1
0.19,7.0,91.4,9.37,2.08,evening,1,1
0.56,8.69,55.3,10.19,3.95,afternoon,3,0
3.45,15.66,51.8,7.31,2.19,evening,2,0
0.45,9.74,99.8,0.61,2.16,morning,1,1
1.66,15.9,54.4,9.84,2.78,night,2,0
4.24,11.57,26.1,12.63,2.91,night,1,0
0.21,6.91,56.2,10.8,4.28,night,2,1
4.09,16.22,83.3,12.45,1.54,evening,1,0
1.48,4.84,79.9,3.01,4.11,morning,1,1
0.68,4.57,81.0,13.33,2.83,morning,1,1
3.51,10.14,73.7,4.83,1.5,night,1,1
3.18,5.29,32.9,0.2,1.48,afternoon,3,0
4.4,0.28,87.6,12.65,1.81,morning,3,1
3.7,13.0,90.4,14.13,3.11,evening,1,0
4.04,10.27,27.5,9.83,1.15,afternoon,1,0
1.48,8.97,21.7,3.47,4.6,evening,1,0
0.97,19.34,97.8,3.78,2.87,afternoon,2,1
3.78,11.47,88.1,7.0,4.6,evening,1,1
4.05,17.28,90.4,13.47,0.23,night,3,0
4.95,2.88,89.8,2.24,1.71,morning,2,1
2.12,11.43,58.8,12.39,0.11,afternoon,3,0
1.92,17.37,68.2,4.37,1.36,afternoon,2,1
3.9,11.7,59.1,12.13,4.31,night,2,0
1.77,14.39,14.6,13.8,0.18,afternoon,2,0
4.66,7.5,77.1,6.41,2.18,afternoon,2,0
4.31,1.94,55.5,5.48,0.59,evening,2,1
2.2,9.21,68.3,12.03,2.08,afternoon,2,0
3.78,7.95,55.2,7.94,4.19,night,2,0
3.8,17.35,54.3,10.27,3.12,night,3,0
0.61,4.96,25.5,9.34,3.68,afternoon,3,0
4.52,19.34,35.1,2.29,1.75,evening,2,0
2.58,19.17,24.3,12.67,4.72,morning,1,0
4.15,5.03,27.6,2.94,3.55,evening,1,0
1.67,7.03,97.6,13.98,2.11,evening,3,1
4.49,17.92,23.8,3.76,2.13,afternoon,1,0
2.01,19.34,34.2,11.01,4.59,morning,1,0
0.15,8.92,63.2,4.27,2.88,night,1,1
4.54,6.49,64.9,4.77,3.53,afternoon,2,0
0.55,10.57,23.9,4.65,2.09,evening,2,0
1.66,13.79,81.4,11.22,1.12,morning,1,0
4.76,5.54,80.7,8.35,3.62,afternoon,1,1
4.76,14.76,31.4,13.24,3.04,night,2,0
2.91,1.13,36.0,4.61,2.51,afternoon,3,0
3.2,1.08,94.4,10.38,3.12,evening,1,1
2.3,7.79,84.3,11.29,1.04,morning,1,1
1.54,7.13,72.8,2.27,3.97,afternoon,2,1
1.71,6.38,17.4,6.01,4.74,night,2,0
3.4,9.87,47.6,7.24,4.46,evening,2,0
3.79,6.48,60.3,5.34,1.61,night,2,0
3.98,3.93,26.9,4.83,2.03,night,3,0
3.97,6.26,50.3,10.3,4.04,night,1,0
0.55,19.5,64.1,3.24,2.98,night,1,0
2.52,8.28,39.5,10.64,2.74,morning,2,0
0.38,8.95,80.3,14.03,4.63,night,2,1
2.79,11.57,85.6,8.48,2.68,morning,2,1
2.26,19.67,39.1,9.17,2.57,morning,3,0
4.45,4.91,85.5,1.03,0.21,morning,2,1
1.82,13.66,19.3,12.97,0.35,afternoon,2,0
0.67,14.35,85.4,4.28,0.04,evening,1,1
0.8,12.19,23.7,9.23,4.57,afternoon,1,0
3.83,1.86,17.5,14.69,2.04,morning,2,0
3.13,13.57,67.8,8.93,2.34,afternoon,1,0
0.6,1.38,52.5,10.87,4.23,afternoon,1,1
0.51,11.96,91.7,6.68,3.05,evening,3,1
3.53,14.82,42.7,0.91,3.05,morning,3,0
0.46,4.3,35.8,11.96,1.48,morning,1,0
4.13,16.85,55.1,0.52,4.17,morning,2,0
3.56,0.7,51.0,10.51,0.83,afternoon,1,0
0.5,16.89,41.0,0.34,0.27,evening,1,0
0.52,9.26,72.4,12.93,0.96,afternoon,2,1
4.93,4.43,78.4,2.36,1.34,afternoon,2,1
1.93,2.76,86.8,7.71,1.41,afternoon,1,1
1.92,19.07,97.6,8.96,3.35,afternoon,1,1
4.08,1.55,34.0,6.86,1.09,night,1,0
4.74,4.06,74.4,5.11,3.38,morning,3,1
4.93,7.02,45.5,7.02,0.46,night,2,0
3.79,12.44,70.9,4.67,0.74,evening,1,0
1.94,10.94,52.8,6.57,2.54,morning,1,0
0.51,2.6,99.4,5.38,4.61,night,2,1
3.91,5.87,75.6,8.49,4.3,evening,2,0
2.84,4.85,95.7,3.57,4.84,evening,2,1
2.18,4.35,85.1,14.83,3.25,afternoon,1,1
4.54,8.28,91.3,7.51,3.38,evening,3,1
0.64,14.11,83.3,2.91,3.13,morning,1,1
2.51,4.43,51.3,7.16,3.11,morning,1,0
0.16,7.4,32.7,13.0,0.74,night,1,0
2.4,7.88,43.3,0.33,2.72,night,2,0
0.38,19.53,11.8,10.19,1.93,morning,3,0
0.68,19.1,57.2,8.22,2.21,evening,2,0
0.68,16.02,55.5,2.54,2.62,evening,2,0
3.28,4.91,57.3,12.26,0.64,morning,1,0
3.76,1.45,97.7,5.53,1.8,afternoon,1,1
2.96,6.41,92.0,4.41,0.32,afternoon,2,1
4.81,5.41,24.6,12.42,4.9,evening,2,0
1.94,10.17,43.2,9.58,0.59,night,2,0
1.5,15.58,48.2,13.47,1.29,morning,1,0
4.36,17.18,42.4,9.45,4.46,evening,1,0
1.2,16.91,81.9,11.11,2.41,evening,1,0
4.82,7.26,57.2,12.55,0.68,evening,3,0
0.16,13.78,61.5,0.82,1.92,morning,2,1
4.85,6.33,86.8,11.64,0.58,afternoon,1,1
0.31,1.31,82.5,9.21,1.0,night,1,1
4.47,14.06,21.9,1.04,0.26,afternoon,1,0
2.69,0.3,74.3,7.63,2.19,afternoon,1,1
4.97,8.24,49.2,1.24,4.03,night,2,0
0.46,6.65,36.5,11.04,2.93,morning,3,0
2.81,13.9,14.5,8.2,3.03,night,2,0
4.85,15.35,53.9,14.3,1.0,afternoon,1,0
2.66,6.15,42.0,2.75,1.72,morning,2,0
3.18,16.25,32.6,9.09,4.23,morning,2,0
3.51,5.95,72.5,3.17,0.44,morning,1,1
2.33,8.98,79.3,9.21,4.29,morning,3,1
3.18,14.57,32.0,10.84,2.42,evening,2,0
2.96,13.89,14.5,10.83,4.19,morning,1,0
4.52,19.75,86.4,12.23,1.59,night,2,0
0.32,4.58,10.9,12.8,1.69,afternoon,2,0
1.48,13.28,94.3,1.16,3.76,afternoon,2,1
4.76,12.23,66.5,5.15,3.92,afternoon,1,0
4.46,18.31,39.0,10.31,1.15,evening,1,0
2.33,3.21,32.2,7.48,4.86,afternoon,1,0
3.14,15.06,10.8,2.86,0.42,morning,2,0
1.46,11.41,31.2,8.29,0.34,night,1,0
1.02,5.57,22.4,6.11,2.98,afternoon,2,0
2.37,9.54,65.1,5.85,3.61,morning,2,0
1.83,6.74,25.0,12.15,4.8,afternoon,1,0
2.96,11.63,57.6,6.11,2.02,evening,2,0
0.48,17.79,63.1,0.4,0.13,morning,1,1
4.87,11.43,36.8,0.87,3.01,night,1,0
4.93,12.67,13.2,12.84,1.45,evening,1,0
3.52,10.42,13.4,14.41,2.16,evening,3,0
2.73,1.12,12.4,10.33,2.44,afternoon,2,0
1.62,4.73,76.5,5.47,0.32,night,1,1
4.09,9.89,38.6,14.08,2.43,morning,3,0
3.46,6.27,81.7,9.94,2.13,evening,2,1
0.9,3.72,48.9,12.67,3.56,afternoon,1,0
4.56,10.13,50.8,11.49,3.23,evening,1,0
4.13,6.52,56.2,5.69,0.93,morning,1,0
